ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G02600","","追加型・公社債証券投資信託（３月設定）","ツイカカタコウシャサイショウケントウシシンタクサンガツセッテイ","内国投資信託受益証券","3月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02603","","第３回　公社債投資信託","ダイサンカイ　コウシャサイトウシシンタク","内国投資信託受益証券","3月19日","","E12460","野村アセットマネジメント株式会社"
"G02608","","公社債投信３月号","コウシャサイトウシンサンガツゴウ","内国投資信託受益証券","3月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02612","","第１１回　公社債投資信託","ダイジュウイッカイ　コウシャサイトウシシンタク","内国投資信託受益証券","11月19日","","E12460","野村アセットマネジメント株式会社"
"G02633","","三菱ＵＦＪ　システムバリューオープン","ミツビシユーエフジェイシステムバリューオープン","内国投資信託受益証券","3月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02634","","三菱ＵＦＪ　トピックスオープン","ミツビシユーエフジェイトピックスオープン","内国投資信託受益証券","3月15日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02635","","ダイワライフスタイル５０","ダイワライフスタイルゴジュウ","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G02636","","ダイワライフスタイル７５","ダイワライフスタイルナナジュウゴ","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G02637","","ダイワ投信倶楽部外国債券インデックス","ダイワトウシンクラブガイコクサイケンインデックス","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G02646","","三菱ＵＦＪ　ＴＯＰＩＸ・ファンド","ミツビシユーエフジェイトピックスファンド","内国投資信託受益証券","3月25日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02655","","公社債投信（１１月号）","コウシャサイトウシンジュウイチガツゴウ","内国投資信託受益証券","11月19日","","E06748","大和アセットマネジメント株式会社"
"G02658","","ＰＲＵ海外債券マーケット・パフォーマー","プルカイガイサイケンマーケットパフォーマー","内国投資信託受益証券","12月10日","","E12429","ＰＧＩＭジャパン株式会社"
"G02659","","公社債投信１１月号","コウシャサイトウシンジュウイチガツゴウ","内国投資信託受益証券","11月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02661","","追加型・公社債証券投資信託（１１月設定）","ツイカガタコウシャサイショウケントウシシンタクジュウイチガツセッテイ","内国投資信託受益証券","11月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02670","","三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０２０　三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０３０　三井住友・ＤＣ年金プラン・ファンド（ターゲット・イヤー型）２０４０","ミツイスミトモディーシーネンキンプランファンドターゲットイヤーガタニィゼロニィゼロ　ミツイスミトモディーシーネンキンプランファンドターゲットイヤーガタニィゼロサンゼロ　ミツイスミトモディーシーネンキンプランファンドターゲットイヤーガタニィゼロヨンゼロ","内国投資信託受益証券","12月20日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G02690","","追加型・公社債証券投資信託（４月設定）","ツイカガタコウシャサイショウケントウシシンタクシガツセッテイ","内国投資信託受益証券","4月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02695","","第４回　公社債投資信託","ダイヨンカイ　コウシャサイトウシシンタク","内国投資信託受益証券","4月19日","","E12460","野村アセットマネジメント株式会社"
"G02696","","公社債投信（４月号）","コウシャサイトウシンシガツゴウ","内国投資信託受益証券","4月19日","","E06748","大和アセットマネジメント株式会社"
"G02697","","公社債投信４月号","コウシャサイトウシンシガツゴウ","内国投資信託受益証券","4月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02730","","公社債投信（６月号）","コウシャサイトウシンロクガツゴウ","内国投資信託受益証券","6月19日","","E06748","大和アセットマネジメント株式会社"
"G02733","","公社債投信６月号","コウシャサイトウシンロクガツゴウ","内国投資信託受益証券","6月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02738","","追加型・公社債証券投資信託（６月設定）","ツイカガタコウシャサイショウケントウシシンタクロクガツセッテイ","内国投資信託受益証券","6月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02740","","ニッセイＴＯＰＩＸオープン","ニッセイトピックスオープン","内国投資信託受益証券","2月20日","","E12453","ニッセイアセットマネジメント株式会社"
"G02750","","明治安田日本債券オープン（毎月決算型）","メイジヤスダニホンサイケンオープンマイツキケッサンガタ","内国投資信託受益証券","4月10日","10月10日","E12448","明治安田アセットマネジメント株式会社"
"G02752","","明治安田外国債券オープン","メイジヤスダガイコクサイケンオープン","内国投資信託受益証券","4月10日","","E12448","明治安田アセットマネジメント株式会社"
"G02771","","公社債投信５月号","コウシャサイトウシンゴガツゴウ","内国投資信託受益証券","5月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02775","","公社債投信（５月号）","コウシャサイトウシンゴガツゴウ","内国投資信託受益証券","5月19日","","E06748","大和アセットマネジメント株式会社"
"G02776","","公社債投信（７月号）","コウシャサイトウシンシチガツゴウ","内国投資信託受益証券","7月19日","","E06748","大和アセットマネジメント株式会社"
"G02779","","第５回　公社債投資信託","ダイゴカイ　コウシャサイトウシシンタク","内国投資信託受益証券","5月19日","","E12460","野村アセットマネジメント株式会社"
"G02785","","追加型・公社債証券投資信託（５月設定）","ツイカガタコウシャサイショウケントウシシンタクゴガツセッテイ","内国投資信託受益証券","5月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02796","","バランスセレクト３０","バランスセレクトサンジュウ","内国投資信託受益証券","5月10日","","E12460","野村アセットマネジメント株式会社"
"G02797","","バランスセレクト５０","バランスセレクトゴジュウ","内国投資信託受益証券","5月10日","","E12460","野村アセットマネジメント株式会社"
"G02798","","バランスセレクト７０","バランスセレクトナナジュウ","内国投資信託受益証券","5月10日","","E12460","野村アセットマネジメント株式会社"
"G02803","","公社債投信７月号","コウシャサイトウシンシチガツゴウ","内国投資信託受益証券","7月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02809","","追加型・公社債証券投資信託（７月設定）","ツイカガタコウシャサイショウケントウシシンタクシチガツセッテイ","内国投資信託受益証券","7月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02825","","公社債投信（８月号）","コウシャサイトウシンハチガツゴウ","内国投資信託受益証券","8月19日","","E06748","大和アセットマネジメント株式会社"
"G02839","","第６回　公社債投資信託","ダイロッカイ　コウシャサイトウシシンタク","内国投資信託受益証券","6月19日","","E12460","野村アセットマネジメント株式会社"
"G02847","","公社債投信８月号","コウシャサイトウシンハチガツゴウ","内国投資信託受益証券","8月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02855","","アセット・ナビゲーション・ファンド（株式６０）","アセットナビゲーションファンドカブシキロクジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02856","","アセット・ナビゲーション・ファンド（株式４０）","アセットナビゲーションファンドカブシキヨンジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02857","","アセット・ナビゲーション・ファンド（株式２０）","アセットナビゲーションファンドカブシキニジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02861","","第８回　公社債投資信託","ダイハチカイ　コウシャサイトウシシンタク","内国投資信託受益証券","8月19日","","E12460","野村アセットマネジメント株式会社"
"G02863","","追加型・公社債証券投資信託（８月設定）","ツイカガタコウシャサイショウケントウシシンタクハチガツセッテイ","内国投資信託受益証券","8月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G02877","","第７回　公社債投資信託","ダイナナカイ　コウシャサイトウシシンタク","内国投資信託受益証券","7月19日","","E12460","野村アセットマネジメント株式会社"
"G02888","","三井住友・ワールド・パッケージ・オープン","ミツイスミトモワールドパッケージオープン","内国投資信託受益証券","6月26日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G02918","13210","ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信","ネクスト　ファンズ　ニッケイニニゴレンドウガタジョウジョウトウシン","内国投資信託受益証券","7月8日","","E12460","野村アセットマネジメント株式会社"
"G02921","13050","ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）","アイフリーイーティーエフトピックスネンイッカイケッサンガタ","内国投資信託受益証券","7月10日","","E06748","大和アセットマネジメント株式会社"
"G02922","13200","ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）","アイフリーイーティーエフニッケイニイニイゴネンイッカイケッサンガタ","内国投資信託受益証券","7月10日","","E06748","大和アセットマネジメント株式会社"
"G02923","13300","上場インデックスファンド２２５","ジョウジョウインデックスファンドニーニーゴ","内国投資信託受益証券","7月8日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02925","13060","ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信","ネクスト　ファンズ　トピックスレンドウガタジョウジョウトウシン","内国投資信託受益証券","7月10日","","E12460","野村アセットマネジメント株式会社"
"G02944","","マイストーリー・株２５、マイストーリー・株５０、マイストーリー・株７５、マイストーリー・株１００、マイストーリー・日本株１００","マイストーリーカブニジュウゴ　マイストーリーカブゴジュウ　マイストーリーカブナナジュウゴ　マイストーリーカブヒャク　マイストーリーニホンカブヒャク","内国投資信託受益証券","8月29日","","E12460","野村アセットマネジメント株式会社"
"G02955","89520","ジャパンリアルエステイト投資法人","ジャパンリアルエステイトトウシホウジン","内国投資証券","3月31日","9月30日","E13205","ジャパンリアルエステイト投資法人"
"G02956","89510","日本ビルファンド投資法人","ニホンビルファンドトウシホウジン","内国投資証券","6月30日","12月31日","E13206","日本ビルファンド投資法人"
"G02966","","日興・ピムコ・グローバル短期債券ファンド","ニッコウピムコグローバルタンキサイケンファンド","内国投資信託受益証券","3月5日","9月5日","E12430","アモーヴァ・アセットマネジメント株式会社"
"G02981","13290","ｉシェアーズ・コア　日経２２５　ＥＴＦ","アイシェアーズコアニッケイニニゴイーティーエフ","内国投資信託受益証券","2月9日","8月9日","E09096","ブラックロック・ジャパン株式会社"
"G02986","","ＤＣ・ダイワ・トピックス・インデックス（確定拠出年金専用ファンド）","ディーシーダイワトピックスインデックスカクテイキョシュツネンキンセンヨウファンド","内国投資信託受益証券","11月30日","","E06748","大和アセットマネジメント株式会社"
"G02988","","ＪＰＭワールド・ＣＢ・オープン","ジェイピーエムワールドシービーオープン","内国投資信託受益証券","1月30日","7月30日","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G02994","","東京海上セレクション・日本株式","トウキョウカイジョウセレクションニホンカブシキ","内国投資信託受益証券","6月20日","","E06433","東京海上アセットマネジメント株式会社"
"G02995","","東京海上セレクション・日本株ＴＯＰＩＸ","トウキョウカイジョウセレクションニホンカブトピックス","内国投資信託受益証券","6月20日","","E06433","東京海上アセットマネジメント株式会社"
"G02996","","東京海上セレクション・外国株式","トウキョウカイジョウセレクションガイコクカブシキ","内国投資信託受益証券","6月20日","","E06433","東京海上アセットマネジメント株式会社"
"G02997","","東京海上セレクション・外国債券","トウキョウカイジョウセレクションガイコクサイケン","内国投資信託受益証券","6月20日","","E06433","東京海上アセットマネジメント株式会社"
"G02999","","東京海上セレクション・バランス３０／東京海上セレクション・バランス５０／東京海上セレクション・バランス７０","トウキョウカイジョウセレクションバランスサンジュウ　トウキョウカイジョウセレクションバランスゴジュウ　トウキョウカイジョウセレクションバランスナナジュウ","内国投資信託受益証券","6月20日","","E06433","東京海上アセットマネジメント株式会社"
"G03006","","ＰＲＵグッドライフ２０３０（年金）","プルグッドライフ　ニゼロサンゼロ　ネンキン","内国投資信託受益証券","12月15日","","E12429","ＰＧＩＭジャパン株式会社"
"G03007","","ＰＲＵグッドライフ２０４０（年金）","プルグッドライフ　ニゼロヨンゼロ　ネンキン","内国投資信託受益証券","12月15日","","E12429","ＰＧＩＭジャパン株式会社"
"G03011","","ＤＣマイセレクション２５","ディーシーマイセレクションニジュウゴ","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03012","","ＤＣマイセレクション５０","ディーシーマイセレクションゴジュウ","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03013","","ＤＣマイセレクション７５","ディーシーマイセレクションナナジュウゴ","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03014","","ＤＣ日本株式インデックス・オープン","ディーシーニホンカブシキインデックスオープン","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03015","","ＤＣ日本債券インデックス・オープン","ディーシーニホンサイケンインデックスオープン","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03016","","ＤＣ外国株式インデックス・オープン","ディーシーガイコクカブシキインデックスオープン","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03017","","ＤＣ外国債券インデックス・オープン","ディーシーガイコクサイケンインデックスオープン","内国投資信託受益証券","9月30日","","E12444","三井住友トラスト・アセットマネジメント株式会社"
"G03019","","三井住友・ＤＣバランスファンド（安定型）　三井住友・ＤＣバランスファンド（安定成長型）　三井住友・ＤＣバランスファンド（成長型）","ミツイスミトモディーシーバランスファンドアンテイガタ　ミツイスミトモディーシーバランスファンドアンテイセイチョウガタ　ミツイスミトモディーシーバランスファンドセイチョウガタ","内国投資信託受益証券","12月15日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03020","","三井住友・ＤＣ国内株式アクティブＳ","ミツイスミトモディーシーコクナイカブシキアクティブエス","内国投資信託受益証券","12月15日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03021","","三井住友・ＤＣ国内債券アクティブ","ミツイスミトモディーシーコクナイサイケンアクティブ","内国投資信託受益証券","12月15日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03022","","三井住友・ＤＣ外国株式アクティブ","ミツイスミトモディーシーガイコクカブシキアクティブ","内国投資信託受益証券","12月15日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03023","","三井住友・ＤＣ外国債券アクティブ","ミツイスミトモディーシーガイコクサイケンアクティブ","内国投資信託受益証券","12月15日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03024","","ハイ・イールド　ボンド　オープン　Ｃコース、ハイ・イールド　ボンド　オープン　Ｄコース","ハイ　イールド　ボンド　オープン　シーコース　ハイ　イールド　ボンド　オープン　ディーコース","内国投資信託受益証券","3月28日","9月28日","E12460","野村アセットマネジメント株式会社"
"G03026","","三井住友・ニュー・チャイナ・ファンド","ミツイスミトモニューチャイナファンド","内国投資信託受益証券","10月20日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03027","","ＤＩＡＭ日本株式オープン＜ＤＣ年金＞","ダイアムニホンカブシキオープンディーシーネンキン","内国投資信託受益証券","6月12日","12月12日","E10677","アセットマネジメントＯｎｅ株式会社"
"G03028","","ＤＩＡＭ外国株式オープン＜ＤＣ年金＞","ダイアムガイコクカブシキオープンディーシーネンキン","内国投資信託受益証券","12月11日","6月13日","E10677","アセットマネジメントＯｎｅ株式会社"
"G03029","","ＤＩＡＭライフサイクル・ファンド＜ＤＣ年金＞１安定型／２安定・成長型／３成長型","ダイアムライフサイクルファンドディーシーネンキンイチアンテイガタニアンテイセイチョウガタサンセイチョウガタ","内国投資信託受益証券","5月25日","11月25日","E10677","アセットマネジメントＯｎｅ株式会社"
"G03037","","三井住友・ＤＣ年金日本債券ファンド","ミツイスミトモディーシーネンキンニホンサイケンファンド","内国投資信託受益証券","3月10日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03038","","２２５ＩＤＸオープン","ニーニーゴアイディエックスオープン","内国投資信託受益証券","3月15日","","E11764","Ｔ＆Ｄアセットマネジメント株式会社"
"G03040","","年金積立　グローバル・ラップ・バランス（安定型）","ネンキンツミタテグローバルラップバランスアンテイガタ","内国投資信託受益証券","3月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03041","","年金積立　グローバル・ラップ・バランス（安定成長型）","ネンキンツミタテグローバルラップバランスアンテイセイチョウガタ","内国投資信託受益証券","3月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03042","","年金積立　グローバル・ラップ・バランス（成長型）","ネンキンツミタテグローバルラップバランスセイチョウガタ","内国投資信託受益証券","3月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03043","","年金積立　グローバル・ラップ・バランス（積極成長型）","ネンキンツミタテグローバルラップバランスセッキョクセイチョウガタ","内国投資信託受益証券","3月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03044","","年金積立　グローバル・ラップ・バランス（積極型）","ネンキンツミタテグローバルラップバランスセッキョクガタ","内国投資信託受益証券","3月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03045","","年金積立　アセット・ナビゲーション・ファンド（株式２０）","ネンキンツミタテアセットナビゲーションファンドカブシキニジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03046","","年金積立　アセット・ナビゲーション・ファンド（株式４０）","ネンキンツミタテアセットナビゲーションファンドカブシキヨンジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03047","","年金積立　アセット・ナビゲーション・ファンド（株式６０）","ネンキンツミタテアセットナビゲーションファンドカブシキロクジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03048","","年金積立　アセット・ナビゲーション・ファンド（株式８０）","ネンキンツミタテアセットナビゲーションファンドカブシキハチジュウ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03049","","インデックスファンド日本債券（１年決算型）","インデックスファンドニホンサイケン　イチネンケッサンガタ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03050","","インデックスファンド海外株式（ヘッジなし）","インデックスファンドカイガイカブシキ　ヘッジナシ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03051","","インデックスファンド海外株式（ヘッジあり）","インデックスファンドカイガイカブシキ　ヘッジアリ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03052","","インデックスファンド海外債券（ヘッジなし）１年決算型","インデックスファンドカイガイサイケン　ヘッジナシ　イチネンケッサンガタ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03053","","インデックスファンド海外債券（ヘッジあり）１年決算型","インデックスファンドカイガイサイケン　ヘッジアリ　イチネンケッサンガタ","内国投資信託受益証券","10月26日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03054","","三菱ＵＦＪ　＜ＤＣ＞ライフ・バランスファンド（安定型）","ミツビシユーエフジェイディーシーライフバランスファンドアンテイガタ","内国投資信託受益証券","8月14日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G03055","","三菱ＵＦＪ　＜ＤＣ＞ライフ・バランスファンド（安定成長型）","ミツビシユーエフジェイディーシーライフバランスファンドアンテイセイチョウガタ","内国投資信託受益証券","8月14日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G03056","","三菱ＵＦＪ　＜ＤＣ＞ライフ・バランスファンド（成長型）","ミツビシユーエフジェイディーシーライフバランスファンドセイチョウガタ","内国投資信託受益証券","8月14日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G03057","","三菱ＵＦＪ　＜ＤＣ＞ライフ・バランスファンド（積極型）","ミツビシユーエフジェイディーシーライフバランスファンドセッキョクガタ","内国投資信託受益証券","8月14日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G03058","","三菱ＵＦＪ　＜ＤＣ＞海外債券オープン","ミツビシユーエフジェイディーシーカイガイサイケンオープン","内国投資信託受益証券","1月22日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G03059","","三菱ＵＦＪ　＜ＤＣ＞ＴＯＰＩＸ・ファンド","ミツビシユーエフジェイディーシートピックスファンド","内国投資信託受益証券","3月25日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G03062","","アライアンス・バーンスタイン・グローバル・グロース・オポチュニティーズ（年金つみたて向け）","アライアンス　バーンスタイン　グローバル　グロース　オポチュニティーズ　ネンキンツミタテムケ","内国投資信託受益証券","7月20日","","E12480","アライアンス・バーンスタイン株式会社"
"G03066","","年金積立　アクティブ・ダイナミクス","ネンキンツミタテアクティブダイナミクス","内国投資信託受益証券","12月14日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03067","","年金積立　日本短期債券オープン","ネンキンツミタテニホンタンキサイケンオープン","内国投資信託受益証券","10月28日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03068","","年金積立　クオンツ・アクティブ・ジャパン","ネンキンツミタテクオンツアクティブジャパン","内国投資信託受益証券","2月15日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03069","","年金積立　インターナショナル・ボンド・ファンド","ネンキンツミタテインターナショナルボンドファンド","内国投資信託受益証券","4月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03070","","年金積立　インターナショナル・グロース・ファンド","ネンキンツミタテインターナショナルグロースファンド","内国投資信託受益証券","4月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03071","","三井住友・ＤＣ年金日本株式２２５ファンド","ミツイスミトモディーシーネンキンニホンカブシキニィニィゴファンド","内国投資信託受益証券","11月10日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G03074","","年金積立　エコファンド","ネンキンツミタテエコファンド","内国投資信託受益証券","8月19日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03075","","インデックスファンドＴＯＰＩＸ（日本株式）","インデックスファンドトピックス　ニホンカブシキ","内国投資信託受益証券","2月12日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03076","","インデックスファンド２２５（日本株式）","インデックスファンドニーニーゴ　ニホンカブシキ","内国投資信託受益証券","6月16日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03078","","年金積立　Ｊグロース","ネンキンツミタテジェイグロース","内国投資信託受益証券","6月25日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03079","","年金積立　ジャパンオープン","ネンキンツミタテジャパンオープン","内国投資信託受益証券","8月20日","","E12430","アモーヴァ・アセットマネジメント株式会社"
"G03080","","ゴールドマン・サックス・世界債券オープンＡ限定為替ヘッジ（確定拠出年金向け）　Ｂ為替ヘッジなし（確定拠出年金向け）","ゴールドマンサックスセカイサイケンオープンエーゲンテイカワセヘッジカクテイキョシュツネンキンムケ　ビーカワセヘッジナシカクテイキョウシュツネンキンムケ","内国投資信託受益証券","6月7日","","E12457","ゴールドマン・サックス・アセット・マネジメント株式会社"
"G03081","","シュローダー日本ファンド（確定拠出年金向け）","シュローダーニホンファンドカクテイキョシュツネンキンムケ","内国投資信託受益証券","8月24日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G03082","","フィデリティ・グローバル・エクイティ・オープン　Ａ（限定為替ヘッジ）（確定拠出年金向け）","フィデリティグローバルエクイティオープン　エイゲンテイカワセヘッジ　カクテイキョシュツネンキンムケ","内国投資信託受益証券","7月31日","","E12481","フィデリティ投信株式会社"
"G03083","","フィデリティ・ジャパン・オープン（確定拠出年金向け）","フィデリティジャパンオープン　カクテイキョシュツネンキンムケ","内国投資信託受益証券","3月21日","","E12481","フィデリティ投信株式会社"
"G03084","","マイストーリー・株２５（確定拠出年金向け）","マイストーリ　カブニイゴウ　カクテイキョシュツネンキンムケ","内国投資信託受益証券","8月29日","","E12460","野村アセットマネジメント株式会社"
"G03085","","マイストーリー・株５０（確定拠出年金向け）","マイストーリー　カブゴジュウ　カクテイキョシュツネンキンムケ","内国投資信託受益証券","8月29日","","E12460","野村アセットマネジメント株式会社"
"G03086","","マイストーリー・株７５（確定拠出年金向け）","マイストーリー　カブナナジュウゴ　カクテイキョシュツネンキンムケ","内国投資信託受益証券","8月29日","","E12460","野村アセットマネジメント株式会社"
"G03087","","マイストーリー・株１００（確定拠出年金向け）","マイストリー　カブヒャク　カクテイキョシュツネンキンムケ","内国投資信託受益証券","8月29日","","E12460","野村アセットマネジメント株式会社"
"G03088","","マイストーリー・日本株１００（確定拠出年金向け）","マイストーリー　ニホンカブヒャク　カクテイキョシュツネンキンムケ","内国投資信託受益証券","8月29日","","E12460","野村アセットマネジメント株式会社"
"G03089","","トピックス・インデックス・オープン（確定拠出年金向け）","トピックスインデックスオープン　カクテイキョシュツネンキンムケ","内国投資信託受益証券","9月29日","","E12460","野村アセットマネジメント株式会社"
"G03090","","リサーチ・アクティブ・オープン　（確定拠出年金向け）","リサーチアクティブオープン　カクテイキョシュツネンキンムケ","内国投資信託受益証券","10月30日","","E12460","野村アセットマネジメント株式会社"
"G03091","","ノムラ・ジャパン・オープン（確定拠出年金向け）","ノムラジャパンオープンカクテイキョシュツネンキンムケ","内国投資信託受益証券","2月27日","","E12460","野村アセットマネジメント株式会社"
"G03092","","野村日本株アクティブ・コアファンド（確定拠出年金向け）","ノムラニホンカブアクティブコアファンドカクテイキョシュツネンキンムケ","内国投資信託受益証券","3月20日","","E12460","野村アセットマネジメント株式会社"
"G03093","","ノムラ日本債券オープン（確定拠出年金向け）","ノムラニホンサイケンオープン　カクテイキョシュツネンキンムケ","内国投資信託受益証券","2月27日","8月27日","E12460","野村アセットマネジメント株式会社"
"G03095","","大同ＤＣ２２５インデックスファンド","ダイドウディシーニーニーゴインデックスファンド","内国投資信託受益証券","3月15日","","E11764","Ｔ＆Ｄアセットマネジメント株式会社"
"G03098","","フランクリン・テンプルトン・米ドル毎月分配型ファンド","フランクリン　テンプルトン　ベイドルマイツキブンパイガタファンド","内国投資信託受益証券","5月18日","11月18日","E12425","フランクリン・テンプルトン・ジャパン株式会社"
"G03101","","シュローダーＤＣアクティブ日本株式","シュローダーディーシーアクティブニホンカブシキ","内国投資信託受益証券","10月25日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G03103","","シュローダーＤＣアクティブ外国株式","シュローダーディーシーアクティブガイコクカブシキ","内国投資信託受益証券","10月25日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G03105","","シュローダー年金運用ファンド日本株式","シュローダーネンキンウンヨウファンドニホンカブシキ","内国投資信託受益証券","4月25日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G03106","","シュローダー年金運用ファンド日本債券","シュローダーネンキンウンヨウファンドニホンサイケン","内国投資信託受益証券","4月25日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G03107","","Ｏｎｅジャパン・セレクション＜ＤＣ年金＞","ワンジャパンセレクションディーシーネンキン","内国投資信託受益証券","6月17日","","E10677","アセットマネジメントＯｎｅ株式会社"
"G03110","","損保ジャパン日本株オープン（ＤＣ年金）","ソンポジャパンニホンカブオープン　ディーシーネンキン","内国投資信託受益証券","10月31日","","E12434","ＳＯＭＰＯアセットマネジメント株式会社"
"G03120","","ＪＰＭ日本株・オープン","ジェイピーエムニホンカブオープン","内国投資信託受益証券","11月20日","","E06264","ＪＰモルガン・アセット・マネジメント株式会社"
"G03123","","バランスセレクト３０（確定拠出年金向け）","バランスセレクトサンジュウカクテイキョシュツネンキンムケ","内国投資信託受益証券","5月10日","","E12460","野村アセットマネジメント株式会社"
"G03124","","バランスセレクト５０（確定拠出年金向け）","バランスセレクトゴジュウカクテイキョシュツネンキンムケ","内国投資信託受益証券","5月10日","","E12460","野村アセットマネジメント株式会社"
