ダウンロード実行日,2026年08月08日現在,件数,11376件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
"E00004","内国法人・組合","上場","有","1491","5月31日","カネコ種苗株式会社","KANEKO SEEDS CO., LTD.","カネコシュビョウカブシキガイシャ","前橋市古市町一丁目５０番地１２","水産・農林業","13760","5070001000715"
"E00006","内国法人・組合","上場","有","13500","5月31日","株式会社　サカタのタネ","SAKATA SEED CORPORATION","カブシキガイシャ　サカタノタネ","横浜市都筑区仲町台２－７－１","水産・農林業","13770","6020001008662"
"E00007","内国法人・組合","上場","有","100","3月31日","ユキグニファクトリー株式会社","YUKIGUNI FACTORY CO.,LTD.","ユニグニファクトリーカブシキガイシャ","南魚沼市余川８９番地","水産・農林業","13750","1010001185037"
"E00008","内国法人・組合","上場","有","5500","3月31日","ホクト株式会社","HOKUTO CORPORATION","ホクトカブシキガイシャ","長野市南堀１３８番地１","水産・農林業","13790","6100001003151"
"E00009","内国法人・組合","上場","有","452","6月30日","株式会社アクシーズ","AXYZ Co., Ltd","カブシキガイシャアクシーズ","鹿児島市草牟田二丁目１番８号","水産・農林業","13810","5340001000258"
"E00010","内国法人・組合","上場","有","421","6月30日","株式会社ホーブ","HOB Co.,Ltd.","カブシキガイシャホーブ","上川郡東神楽町１４号北１番地","水産・農林業","13820","9450001002677"
"E00011","内国法人・組合","上場","有","50074","12月31日","住友林業株式会社","Sumitomo Forestry Co.,Ltd.","スミトモリンギョウカブシキガイシャ","千代田区大手町一丁目３番２号","建設業","19110","4010001090011"
"E00012","内国法人・組合","上場","有","7527","3月31日","株式会社　極洋","KYOKUYO CO., LTD.","カブシキガイシャ　キョクヨウ","港区赤坂三丁目３番５号","水産・農林業","13010","1010401033225"
"E00014","内国法人・組合","上場","有","30685","3月31日","株式会社ニッスイ","Nissui Corporation","カブシキガイシャニッスイ","港区西新橋一丁目３番１号","水産・農林業","13320","1010001016860"
"E00015","内国法人・組合","上場","有","20000","3月31日","Ｕｍｉｏｓ株式会社","","ウミオスカブシキガイシャ","港区高輪二丁目２１番２号","水産・農林業","13330","2010601040697"
"E00017","内国法人・組合","非上場","有","2485","3月31日","株式会社ホウスイ","HOHSUI  CORPORATION","カブシキガイシャホウスイ","江東区豊洲六丁目６番３号","卸売業","","9010001034921"
"E00021","内国法人・組合","上場","有","119457","3月31日","三菱マテリアル株式会社","MITSUBISHI MATERIALS CORPORATION","ミツビシマテリアルカブシキガイシャ","千代田区丸の内三丁目２番３号","非鉄金属","57110","6010001023786"
"E00023","内国法人・組合","上場","有","93242","3月31日","住友金属鉱山株式会社","Sumitomo Metal Mining Co., Ltd.","スミトモキンゾクコウザンカブシキカイシャ","港区新橋５丁目１１番３号","非鉄金属","57130","9010401015273"
"E00024","内国法人・組合","上場","有","42377","3月31日","三井金属株式会社","Mitsui Kinzoku Company, Limited","ミツイキンゾクカブシキガイシャ","品川区大崎一丁目１１番１号","非鉄金属","57060","7010701011370"
"E00026","内国法人・組合","上場","有","1018","3月31日","日本精鉱株式会社","NIHON SEIKO CO.,LTD.","ニホンセイコウカブシキガイシャ","新宿区下宮比町３－２","非鉄金属","57290","2011101016386"
"E00027","内国法人・組合","上場","有","100","3月31日","中外鉱業株式会社","Chugai Mining Co.,Ltd.","チュウガイコウギョウカブシキガイシャ","千代田区丸の内２丁目４番１号","非鉄金属","14910","7010001008720"
"E00028","内国法人・組合","上場","有","36437","3月31日","ＤＯＷＡホールディングス株式会社","DOWA HOLDINGS CO.,LTD.","ドウワホールディングスカブシキガイシャ","千代田区外神田四丁目１４番１号","非鉄金属","57140","1010001008750"
"E00030","内国法人・組合","上場","有","7000","3月31日","日本コークス工業株式会社","NIPPON COKE & ENGINEERING CO., LTD.","ニホンコークスコウギョウカブシキガイシャ","江東区豊洲三丁目３番３号","石油・石炭製品","33150","5010601029770"
"E00032","内国法人・組合","上場","有","28208","3月31日","古河機械金属株式会社","FURUKAWA CO.,LTD.","フルカワキカイキンゾクカブシキガイシャ","千代田区大手町二丁目６番４号","非鉄金属","57150","7010001008803"
"E00033","内国法人・組合","非上場","有","2141","3月31日","常磐興産株式会社","Joban Kosan Co.,Ltd.","ジョウバンコウサンカブシキガイシャ","いわき市常磐藤原町蕨平５０番地","サービス業","","9380001014473"
"E00034","内国法人・組合","上場","有","4244","3月31日","太平洋興発株式会社","TAIHEIYO KOUHATSU INCORPORATED","タイヘイヨウコウハツカブシキガイシャ","台東区元浅草二丁目６番７号","卸売業","88350","8010501031238"
"E00035","内国法人・組合","上場","有","1100","3月31日","株式会社ニッチツ","NITCHITSU CO.,LTD.","カブシキガイシャニッチツ","港区赤坂一丁目１１番３０号","機械","70210","4010401054508"
"E00036","内国法人・組合","上場","有","4176","3月31日","日鉄鉱業株式会社","Nittetsu Mining CO.,Ltd.","ニッテツコウギョウカブシキガイシャ","千代田区丸の内二丁目３番２号","鉱業","15150","5010001008730"
"E00037","内国法人・組合","上場","有","8571","3月31日","三井松島ホールディングス株式会社","MITSUI MATSUSHIMA HOLDINGS CO.,LTD.","ミツイマツシマホールディングスカブシキガイシャ","福岡市中央区大手門一丁目１番１２号","その他製品","15180","5290001010634"
"E00041","内国法人・組合","上場","有","14288","3月31日","石油資源開発株式会社","Japan Petroleum Exploration Co., Ltd.","セキユシゲンカイハツカブシキガイシャ","千代田区丸の内一丁目７番１２号","鉱業","16620","3010001108219"
"E00043","内国法人・組合","上場","有","290809","12月31日","株式会社ＩＮＰＥＸ","INPEX CORPORATION","カブシキガイシャインペックス","港区赤坂五丁目３番１号","鉱業","16050","7010401078520"
"E00045","内国法人・組合","非上場","無","68","3月31日","大室温泉株式会社","Omuro spa Co. , Ltd","オオムロオンセンカブシキガイシャ","伊東市富戸字先原１３１７番４５６２","鉱業","","6080101013425"
"E00048","内国法人・組合","上場","有","161699","3月31日","大和ハウス工業株式会社","DAIWA HOUSE INDUSTRY CO., LTD.","ダイワハウスコウギョウカブシキガイシャ","大阪市北区梅田三丁目３番５号","建設業","19250","6120001059662"
"E00049","内国法人・組合","非上場","有","15324","3月31日","株式会社ＮＩＰＰＯ","NIPPO CORPORATION","カブシキガイシャニッポ","中央区京橋一丁目１９番１１号","建設業","","9010001034987"
"E00050","内国法人・組合（有価証券報告書等の提出義務者以外）","","","10000","","日本コムシス株式会社","","ニッポンコムシスカブシキガイシャ","品川区東五反田２丁目１７番１号","内国法人・組合（有価証券報告書等の提出義務者以外）","","4010701022825"
"E00051","内国法人・組合","非上場","有","28463","3月31日","前田建設工業株式会社","MAEDA CORPORATION","マエダケンセツコウギョウカブシキガイシャ","千代田区富士見二丁目１０番２号","建設業","","4010001008789"
"E00052","内国法人・組合","上場","有","122742","3月31日","大成建設株式会社","taisei corporation","タイセイケンセツカブシキガイシャ","新宿区西新宿一丁目２５番１号","建設業","18010","4011101011880"
"E00053","内国法人・組合","上場","有","74365","3月31日","清水建設株式会社","SHIMIZU CORPORATION","シミズケンセツカブシキガイシャ","中央区京橋二丁目１６番１号","建設業","18030","1010401013565"
"E00055","内国法人・組合","上場","有","57752","3月31日","株式会社大林組","OBAYASHI  CORPORATION","カブシキガイシャオオバヤシグミ","港区港南二丁目１５番２号","建設業","18020","7010401088742"
"E00056","内国法人・組合","上場","有","30108","3月31日","株式会社　熊谷組","Kumagaigumi Co.,Ltd.","カブシキガイシャクマガイグミ","福井市中央２丁目６番８号","建設業","18610","1210001001082"
"E00057","内国法人・組合（有価証券報告書等の提出義務者以外）","","","3000","","佐藤工業株式会社","","サトウコウギョウカブシキガイシャ","富山市桜木町１番１１号","内国法人・組合（有価証券報告書等の提出義務者以外）","","2230001001055"
"E00058","内国法人・組合","上場","有","81447","3月31日","鹿島建設株式会社","KAJIMA  CORPORATION","カジマケンセツカブシキガイシャ","港区元赤坂一丁目３番１号","建設業","18120","8010401006744"
"E00059","内国法人・組合","上場","有","5012","5月31日","日本国土開発株式会社","JDC CORPORATION","ニホンコクドカイハツカブシキガイシャ","港区虎ノ門四丁目３番１３号","建設業","18870","3010401022812"
"E00060","内国法人・組合","上場","有","23513","3月31日","西松建設株式会社","Nishimatsu Construction  Co., Ltd.","ニシマツケンセツカブシキガイシャ","港区虎ノ門一丁目１７番１号","建設業","18200","8010401021454"
"E00061","内国法人・組合","非上場","有","19350","3月31日","前田道路株式会社","MAEDA ROAD CONSTRUCTION CO.,LTD.","マエダドウロカブシキガイシャ","品川区大崎１丁目１１番３号","建設業","","6010701009184"
"E00063","内国法人・組合","非上場","有","5519","3月31日","飛島建設株式会社","TOBISHIMA CORPORATION","トビシマケンセツカブシキガイシャ","港区港南１丁目８番１５号","建設業","","8010001008703"
"E00064","内国法人・組合","上場","有","4000","3月31日","松井建設株式会社","MATSUI CONSTRUCTION CO., LTD.","マツイケンセツカブシキガイシャ","中央区新川一丁目１７番２２号","建設業","18100","7010001034956"
"E00065","内国法人・組合","上場","有","18293","3月31日","鉄建建設株式会社","TEKKEN CORPORATION","テッケンケンセツカブシキガイシャ","千代田区神田三崎町二丁目５番３号","建設業","18150","2010001008709"
"E00066","内国法人・組合","上場","有","7584","3月31日","東亜道路工業株式会社","TOA ROAD CORPORATION","トウアドウロコウギョウカブシキガイシャ","港区六本木七丁目３番７号","建設業","18820","7010401020201"
"E00067","内国法人・組合","非上場","有","12290","3月31日","日本道路株式会社","THE NIPPON ROAD CO.,LTD.","ニッポンドウロカブシキガイシャ","港区芝浦一丁目２番３号","建設業","","9010401023409"
"E00069","内国法人・組合","上場","有","3695","3月31日","株式会社錢高組","THE ZENITAKA CORPORATION","カブシキガイシャゼニタカグミ","大阪市西区西本町二丁目２番４号","建設業","18110","5120001049004"
"E00073","内国法人・組合","上場","有","3481","3月31日","株式会社中電工","CHUDENKO CORPORATION","カブシキガイシャチュウデンコウ","広島市中区小網町６番１２号","建設業","19410","9240001006971"
"E00074","内国法人・組合","上場","有","10264","3月31日","株式会社関電工","KANDENKO CO.,LTD.","カブシキガイシャカンデンコウ","港区芝浦４丁目８番３３号","建設業","19420","9010401006818"
"E00075","内国法人・組合","上場","有","26411","3月31日","株式会社きんでん","KINDEN CORPORATION","カブシキガイシャキンデン","大阪市北区本庄東二丁目３番４１号","建設業","19440","1120001063033"
"E00076","内国法人・組合","上場","有","7680","3月31日","株式会社トーエネック","TOENEC CORPORATION","カブシキガイシャトーエネック","名古屋市中区栄一丁目３１番２３号","建設業","19460","8180001038758"
"E00078","内国法人・組合","非上場","有","7480","6月30日","日本工営株式会社","Nippon Koei Co., Ltd.","ニホンコウエイカブシキガイシャ","千代田区麹町５丁目４番地","サービス業","","2010001016851"
